date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:11:09	36797/36797	---M--	200	added ('OK%20')	text/html	date:Wed,%2015%20Nov%202017%2023:01:03%20GMT	http://demos.creative-tim.com/material-dashboard-pro/examples/components/sweet-alert.html	C:/Users/VENDAS-02/Desktop/creative%20tim/demos.creative-tim.com/material-dashboard-pro/examples/components/sweet-alert.html	(from http://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
20:11:11	52429/52429	---M--	200	added ('OK%20')	text/html	date:Wed,%2015%20Nov%202017%2023:01:04%20GMT	http://demos.creative-tim.com/material-dashboard-pro/examples/components/notifications.html	C:/Users/VENDAS-02/Desktop/creative%20tim/demos.creative-tim.com/material-dashboard-pro/examples/components/notifications.html	(from http://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
20:11:12	33517/33517	---M--	200	added ('OK%20')	text/html	date:Wed,%2015%20Nov%202017%2023:01:06%20GMT	http://demos.creative-tim.com/material-dashboard-pro/examples/components/icons.html	C:/Users/VENDAS-02/Desktop/creative%20tim/demos.creative-tim.com/material-dashboard-pro/examples/components/icons.html	(from http://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
20:11:13	39528/39528	---M--	200	added ('OK%20')	text/html	date:Wed,%2015%20Nov%202017%2023:01:07%20GMT	http://demos.creative-tim.com/material-dashboard-pro/examples/components/typography.html	C:/Users/VENDAS-02/Desktop/creative%20tim/demos.creative-tim.com/material-dashboard-pro/examples/components/typography.html	(from http://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
20:11:15	52053/52053	---M--	200	added ('OK%20')	text/html	date:Wed,%2015%20Nov%202017%2023:01:09%20GMT	http://demos.creative-tim.com/material-dashboard-pro/examples/forms/regular.html	C:/Users/VENDAS-02/Desktop/creative%20tim/demos.creative-tim.com/material-dashboard-pro/examples/forms/regular.html	(from http://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
20:11:16	50351/50351	---M--	200	added ('OK%20')	text/html	date:Wed,%2015%20Nov%202017%2023:01:10%20GMT	http://demos.creative-tim.com/material-dashboard-pro/examples/forms/extended.html	C:/Users/VENDAS-02/Desktop/creative%20tim/demos.creative-tim.com/material-dashboard-pro/examples/forms/extended.html	(from http://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
20:11:18	48778/48778	---M--	200	added ('OK%20')	text/html	date:Wed,%2015%20Nov%202017%2023:01:11%20GMT	http://demos.creative-tim.com/material-dashboard-pro/examples/forms/validation.html	C:/Users/VENDAS-02/Desktop/creative%20tim/demos.creative-tim.com/material-dashboard-pro/examples/forms/validation.html	(from http://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
20:11:20	45865/45865	---M--	200	added ('OK%20')	text/html	date:Wed,%2015%20Nov%202017%2023:01:13%20GMT	http://demos.creative-tim.com/material-dashboard-pro/examples/forms/wizard.html	C:/Users/VENDAS-02/Desktop/creative%20tim/demos.creative-tim.com/material-dashboard-pro/examples/forms/wizard.html	(from http://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
20:11:22	44489/44489	---M--	200	added ('OK%20')	text/html	date:Wed,%2015%20Nov%202017%2023:01:15%20GMT	http://demos.creative-tim.com/material-dashboard-pro/examples/tables/regular.html	C:/Users/VENDAS-02/Desktop/creative%20tim/demos.creative-tim.com/material-dashboard-pro/examples/tables/regular.html	(from http://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
20:11:24	59841/59841	---M--	200	added ('OK%20')	text/html	date:Wed,%2015%20Nov%202017%2023:01:17%20GMT	http://demos.creative-tim.com/material-dashboard-pro/examples/tables/extended.html	C:/Users/VENDAS-02/Desktop/creative%20tim/demos.creative-tim.com/material-dashboard-pro/examples/tables/extended.html	(from http://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
